,message_length,summary
0,136,Collision: The 2009 Honda Fit was hit by another car while making a left turn off the highway. The car was pushed 10-15 feet and sustained damage.
1,33,"Other. The caller's car was damaged due to a hail storm. The back window and brake lights were broken, and the car is undrivable. The caller needs a rental car."
2,50,NO ACCIDENT DESCRIBED.
3,71,"collision - A dark blue or black Chevy Malibu pulled in front of the caller's car, causing damage to the right front bumper and left rear bumper/quarter panel area. The other driver left the scene."
4,90,Collision: The 2020 Toyota Camry was hit on the passenger side by another vehicle. The entire passenger side of the car was damaged. No other details about the accident were provided.
5,95,collision - The caller's BMW 5 series was damaged in an accident on April 30th. The car is estimated to take 4 days to repair. The caller requested a luxury rental car.
6,67,collision - The caller's car was involved in an accident. Geico confirmed that the caller's claim is a non-fault claim and the other driver's claim is at fault. The caller's car needs repair.
7,125,"Collision: The caller hit a coyote while driving, causing damage to the front end of the car, including the front bumper and the black plastic underneath the car."
8,107,other - The car was damaged due to flooding caused by a storm. Water entered the engine and the car had to be towed. No collision or injuries were reported.
9,45,NO ACCIDENT DESCRIBED.
10,24,Collision. The car sustained damage to the front bumper and hood.
11,98,"Collision: The caller's car was hit by another car in a parking lot. The caller's car sustained damages to the front, grill, and light area. The other car had no visible damage."
12,70,Collision: Caller's car was hit by an uninsured Chevy Silverado truck. Caller's car was brought to a collision shop and charged a deductible. No recovery potential from the at-fault party.
13,201,"Collision: A Honda SUV backed into a Lamborghini in a parking lot causing significant damage. The car was taken to a repair shop where it was dismantled and estimated to cost $27,000 to repair."
14,61,collision - The car involved in the accident is a 2015 16 Acura RLX. No further details about the accident were provided.
15,103,collision - The caller's car was hit by another driver who fled the scene. The caller's car sustained damage and the other driver was found to be uninsured.
16,305,Collision: Front bumper of Honda damaged in accident with uninsured driver. No airbags deployed. Car still drivable. Inspection appointment set for Friday at Toyota Collision Center.
17,106,Collision. The caller hit an animal causing damage to the body of the car. The car is a new Toyota Camry hybrid and needs to be inspected and repaired at a Toyota dealership. No rental reimbursement is available.
18,88,Collision. The caller's daughter was hit by another car. The daughter's 2009 Honda Fit was damaged and she is currently experiencing medical issues. No information was provided about the other car's damage.
19,84,Other. The caller's car got flooded while driving through a road with deep water. The engine stopped working. No information was provided about the damage to the car.
20,16,Collision: The caller's truck was rear-ended as part of a three-party stack on Saturday. The truck sustained damage to the trailer hitch and other parts.
21,125,"Collision. The rear bumper, trunk, and both rear quarter panels of the caller's blue 2010 Ford Focus were damaged in a rear-end collision. No airbags were deployed."
22,114,"Collision. The rear bumper, trunk, and both rear quarter panels of the caller's blue 2010 Ford Focus were damaged in a rear-end collision. No airbags were deployed."
23,41,collision - the caller was rear-ended. No information was provided about the damage to the car.
24,41,"Collision. The caller's car was damaged while trying to avoid another vehicle. Geico deemed it an at-fault claim, but the damage is covered, and the caller only needs to pay the deductible."
25,45,Other. The caller reported damage to their 2023 Honda HR-V due to a hailstorm. The back windshield and tail lights were broken. No police report was filed.
26,37,NO ACCIDENT DESCRIBED.
27,122,"Other. The caller's mother was robbed of her Mercedes C300 car keys, personal belongings, and cash in front of a supermarket. No damage to the car was reported."
28,215,Collision: The caller's wife hit a parked 2013 Honda Odyssey causing minor damage to the right rear door and quarter panel. No injuries were reported. Geico will cover the damages.
29,78,collision - The caller wants to change the auto repair shop from the record service to Rusty Wallace Kia of Knoxville. No information about the damage to the car was provided.
30,64,collision - The caller wants to change the auto repair shop from the record service to Rusty Wallace Kia of Knoxville. No information about the damage to the car was provided.
31,20,NO ACCIDENT DESCRIBED.
32,119,"Collision: The caller hit a rebar on a parking lot curb, causing damage to the undercarriage and radiator of a gray Honda. No damage to the front bumper was reported."
