,message_length,summary
0,135,Collision: The vehicle was hit by another car while making a left turn off the highway. The car was thrown 10-15 feet in the middle of the road. No further details provided.
1,32,Collision: The vehicle was hit by another car while making a left turn off the highway. The car was thrown 10-15 feet in the middle of the road. No further details provided.
2,49,NO ACCIDENT DESCRIBED.
3,70,"Collision: The caller reported that a dark blue or black Chevy Malibu pulled in front of them, causing damage to the right front bumper and left rear bumper/quarter panel area of their car. No injuries reported."
4,89,Collision: The 2020 Toyota Camry sustained damage to the entire passenger side after being hit by another vehicle that crossed into oncoming traffic. No other details provided.
5,94,"Collision: BMW 5 series sustained damage on April 30th. Estimate for repair is 4 days, but may take up to 6. Rental coverage approved for luxury vehicle up to $1050."
6,66,Collision: The car was damaged in an accident. No further details were provided.
7,124,"Collision: A coyote ran out in front of the car, causing damage to the front bumper and the black plastic underneath the car. No other vehicles were involved."
8,106,Other - The car experienced flooding and water entered the engine causing damage. No collision or other damage was mentioned.
9,44,"Collision: The car was hit on the driver's side, causing damage to the door and fender."
10,23,"Collision: The car was hit on the driver's side, causing significant damage to the door and fender."
11,97,"Collision: The caller's car was hit by another car in a parking lot. The caller's car sustained significant damage to the front, including a shattered grill and squished light area."
12,69,"Collision: The caller's car was hit by a Chevy Silverado truck on July 8th, resulting in damage to the car. No further details were provided about the accident."
13,200,"Collision: A Honda SUV backed into the Lamborghini in a parking lot causing significant damage to the vehicle. The repair estimate is $27,000."
14,60,NO ACCIDENT DESCRIBED.
15,102,Collision: The caller's car was hit by another car and sustained damage. The other driver did not have insurance.
16,304,Collision: Front bumper of Honda damaged in accident with uninsured driver. No airbags deployed. No damage reported to other vehicle.
17,105,Collision: The caller hit an animal causing damage to the body of their Toyota Camry. The vehicle is currently at a tow yard and needs a field inspection.
18,87,"Collision: The 2009 Honda Fit was hit by another car, causing damage. No further details were provided."
19,83,Flooding caused the 2017 Subaru Impreza to float and the engine to quit. The car will be inspected to determine if it is repairable or totaled. No collision occurred.
20,15,"Collision: The caller's truck was rear-ended as part of a three-party stack, resulting in damage to the trailer hitch and certain parts of the truck."
21,124,"Collision: The caller was involved in a rear-end collision. The rear bumper, trunk, both rear quarter panels, and tail lights of their car were damaged. No airbags were deployed."
22,113,"Collision: Homeless man caused damage to car while parked outside a restaurant. Broken window, damaged doors, and wires pulled from under the carpet. Estimate for repairs is $3,603.15."
23,40,Collision: The caller was rear-ended and experienced back aches. No further details were provided about the accident.
24,40,"Collision: The caller's vehicle was damaged while trying to avoid another vehicle. The claim is considered at fault, but Geico will cover the damages except for the deductible."
25,44,Hailstorm damage to a 2023 Honda HR-V. Back windshield and tail lights broken. No accident described. Claim filed and adjuster to assess damage.
26,36,No accident was described.
27,121,No accident described.
28,214,"Collision: The claimant's parked 2013 Honda Odyssey was hit by the insured's 2022 Tesla Model, causing damage to the rear bumper and driver's side rear quarter panel."
29,182,"Other: A brand new Ford Maverick caught fire and was completely destroyed. Half of the truck melted, the front end was gone, and the interior was burned."
30,77,"Collision: The caller's car was involved in an accident. No details were provided about the accident, except that the car needed repairs."
31,63,Collision: The caller's SUV was damaged and needs repairs. No further details about the accident were provided.
32,19,NO ACCIDENT DESCRIBED.
33,118,"Collision: The car hit a rebar on a curb in a parking lot, causing damage to the undercarriage and radiator. No damage to the front bumper was reported."
34,71,Collision: The caller's car was side-swiped while parked and unattended. The other driver fled the scene. Footage of the incident was captured. No injuries were reported.
35,100,Collision: A person on a motorcycle hit the parked rental car causing damage. No one was in the car at the time of the accident. The motorcycle rider was injured.
36,78,Collision: The caller has a current claim for an incident that occurred in April. They are taking their car to the collision center for repairs and need to schedule a rental car. No description of the damage to the car was provided.
37,93,"Collision: A 2005 Land Rover Range Rover was damaged by a baseball bat on May 3rd, resulting in an estimated $9,814 in damages."
38,72,Collision: The caller's car was hit by another car driven by a minor. The caller's car sustained damages and is not drivable. The other driver's insurance is Solo Insurance.
39,60,Collision: No information provided about the accident or damage to the car.
40,151,"Collision: The caller's 2019 Honda Insight was hit on the front, right side near the right headlight by another vehicle. Airbags deployed and the car may be considered a total loss."
41,12,NO ACCIDENT DESCRIBED.
42,101,Collision: Car sustained damage to the front and rear. Child car seats were occupied and will need to be replaced. Rental car reservation made for reasonable repair time.
43,82,"Collision: The 2019 Grand Cherokee was rear-ended, causing frame damage and a cracked rear window. No other accidents were described."
44,25,"Collision: The caller's recently purchased truck was hit by someone, causing damage to the vehicle. No further details were provided."
